axe,Mois,Année,Service,gare de départ,gare d'arrivée,Durée moyenne prévue du trajet (min),Nbre de circulations programmées sur la relation considérée dans le mois ,Nbre de circulations assurées sur la relation considérée dans le mois,Nbre de trains annulés au cours du mois,% mensuel de trains annulés,Commentaire trains annulés,Nbre total de trains en retard au départ pour le mois,% mensuel de trains en retard au départ,Retard moyen mensuel des trains au départ (min),% moyen de retard au départ des trains sur les 6 derniers mois,Retard moyen des trains au départ sur les 6 derniers mois (min),% moyen de retard au départ des trains sur les 12 derniers mois,Retard moyen des trains au départ sur les 12 derniers mois (min),Commentaire trais en retard au départ,Nbre total de trains en retard à l'arrivée,% mensuel de trains en retard à l'arrivée,Retard moyen mensuel des trains à l'arrivée (min),% moyen de trains en retard à l'arrivée sur les 6 derniers mois,Retard moyen des trains à l'arrivée sur les 6 derniers mois (min),% moyen de trains en retard à l'arrivée sur les 12 derniers mois,Retard moyen des trains à l'arrivée sur les 12 derniers mois (min),Commentaire trains en retard à l'arrivée,Retard moyen mensuel des trains au départ p/r à l'ensemble des trains (min),Retard moyen mensuel des trains à l'arrivée p/r à l'ensemble des trains (min),"% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.)","% trains en retard à cause infrastructure ferroviaire (maintenance, travaux)","% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux)",% trains en retard à cause matériel roulant,% trains en retard à cause gestion en gare et réutilisation de matériel,"% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Nombre trains en retard > 15min,Retard moyen trains en retard > 15min,Nombre trains en retard > 30min,Nombre trains en retard > 60min
,12,2018,TGV,LYON PART DIEU,RENNES,239,90,90,0,,,65,,9,,,,,,16,,34,,,,,,7,7,0.25,0.13,0.25,0.19,0.06,0.12,16,7,5,3
,1,2019,TGV,LYON PART DIEU,RENNES,239,94,94,0,,,56,,9,,,,,,14,,36,,,,,,6,7,0.43,0,0.07,0.43,0,0.07,14,7,8,2
,2,2019,TGV,LYON PART DIEU,RENNES,239,88,86,2,,,58,,12,,,,,,13,,94,,,,,"Ce mois-ci, cette destination a été touchée par :
- le 12 : un dérangement d'installation sur la ligne à grande vitesse Bretagne-Pays de la Loire (15 TGV impactés pour 487 minutes perdues),
- le 13 : un dérangement d'installation sur la ligne à grande vitesse Bretagne-Pays de la Loire (15 TGV impactés pour 487 minutes perdues), 
- le 13 : un dérangement d'installation sur la ligne à grande vitesse Atlantique ( 26 TGV impactés pour 424 minutes perdues), 
- le 15 : une panne d'un TGV vers Massy TGV (20 TGV impactés pour 253 minutes perdues), 
- le 23 : l'évacuation de la gare de Rennes pour une forte odeur de gaz (17 TGV impactés pour 934 minutes perdues),
- le 25 : le heurt d'un animal par un train OUIGO sur la ligne à grande vitesse Atlantique (16 TGV impactés pour 1069 minutes perdues).",8,15,0.23,0.31,0.08,0.15,0,0.23,13,15,7,5
,3,2019,TGV,LYON PART DIEU,RENNES,238,95,92,3,,,56,,8,,,,,,11,,24,,,,,,5,5,0.09,0.19,0.27,0.27,0.18,0,11,5,3,0
Atlantique,4,2019,TGV,LYON PART DIEU,RENNES,236,86,83,3,,,45,,9,,,,,,14,,34,,,,,,5,8,0.31,0.23,0.23,0.15,0.08,0,14,8,6,1
Atlantique,5,2019,TGV,LYON PART DIEU,RENNES,234,100,90,10,,,77,,9,,,,,,23,,76,,,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1 : une défaillance matériel en gare de Rennes (5 TGV impactés pour 132 minutes perdues), 
- le 8 : un accident de personne vers Hennebont (4 TGV impactés pour 419 minutes perdues), 
- le 9 : un dérangement d'installation entre Massy et Valenton (16 TGV impactés pour 1041 minutes perdues),
- le 10 : un bagage abandonné à Marne La Vallée (17 TGV impactés pour 154 minutes perdues), 
- le 12 : une personne allongée le long des voies près de Lyon (5 TGV impactés pour 300 minutes perdues), 
- le 14 : une défaillance matériel d'un TGV sur la Ligne à Grande Vitesse Atlantique (14 TGV impactés pour 285 minutes perdues),
- le 17 : un accident de personne entre Sully et Vianges qui perturbe la circulation des TGV province-province (9 TGV impactés pour 1255 minutes perdues),
- le 20 : un heurt de chevreuil sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 568 minutes perdues), 
- le 23 : une défaillance d'un détecteur de chute de véhicule sur la Ligne à Grande Vitesse Sud-Est (33 TGV impactés pour 1057 minutes perdues) et une restitution tardive de travaux sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 911 minutes perdues), 
- le 29 : deux bagages abandonnés dans un TGV à Montpellier (3 TGV impactés pour 339 minutes perdues).",7,21,0.35,0.35,0.13,0.17,0,0,23,76,14,8
Atlantique,6,2019,TGV,LYON PART DIEU,RENNES,235,88,88,0,,,76,,6,,,,,,25,,59,,,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 4 : un dérangement d'installation sur la Ligne à Grande Vitesse Sud-Est perturbe la circulation des TGV province-province (28 TGV impactés pour 756 minutes perdues), 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un accident de personne sur un Intercités vers Le Mans (18 TGV impactés pour 581 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues), 
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : la présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 28 :  le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues) et  une absence d'alimentation électrique entre Rennes et La Brohinière  (9 TGV impactés pour 1166 minutes perdues).",5,20,0.16,0.32,0.12,0.2,0.04,0.16,25,59,15,8
Atlantique,7,2019,TGV,LYON PART DIEU,RENNES,234,97,92,5,0,,88,,10,,,,,,34,,33,,,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 2 : le heurt d'un animal sur la ligne à grande vitesse Bretagne Pays de la Loire (9 TGV impactés pour 170 minutes perdues),
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 9 : une détection de chute de pierre déclenche les systèmes de protection aux abords des voies entre Angers et Nantes (12 TGV impactés pour 886 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 25 : un incendie aux abords des voies sur la ligne à grande vitesse Bretagne Pays de la Loire (42 TGV impactés pour 1203 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",10,15,0.09,0.08,0.38,0.27,0.06,0.12,34,33,15,5
Atlantique,8,2019,TGV,LYON PART DIEU,RENNES,236,80,80,0,0,,77,,11,,,,,,22,,39,,,,,,11,14,0.14,0.09,0.27,0.36,0.09,0.05,22,39,12,4
,9,2018,TGV,MACON LOCHE,PARIS-LYON,100,195,195,0,,,155,,12,,,,,,46,,29,,,,,,9,8,0.2,0.24,0.35,0.11,0.04,0.06,37,8,12,5
,10,2018,TGV,MACON LOCHE,PARIS-LYON,100,202,201,1,,,153,,12,,,,,,41,,34,,,,,,9,7,0.2,0.27,0.34,0.15,0.04,0,25,7,12,5
,11,2018,TGV,MACON LOCHE,PARIS-LYON,100,194,194,0,,,148,,10,,,,,,29,,30,,,,,,8,5,0.28,0.28,0.28,0.07,0.06,0.03,23,5,9,5
,12,2018,TGV,MACON LOCHE,PARIS-LYON,100,203,199,4,,,133,,8,,,,,,23,,25,,,,,,5,3,0.35,0.09,0.26,0.13,0.13,0.04,12,3,5,2
,1,2019,TGV,MACON LOCHE,PARIS-LYON,100,204,204,0,,,120,,12,,,,,,32,,38,,,,,,7,6,0.44,0.05,0.16,0.19,0.16,0,27,6,14,3
,2,2019,TGV,MACON LOCHE,PARIS-LYON,100,185,184,1,,,113,,13,,,,,,32,,54,,,,,Accidents de personne,8,10,0.23,0.33,0.27,0.1,0,0.07,24,10,9,6
,3,2019,TGV,MACON LOCHE,PARIS-LYON,100,201,200,1,,,127,,7,,,,,,17,,29,,,,,,5,3,0,0.13,0.81,0.06,0,0,10,3,5,3
Sud-Est,4,2019,TGV,MACON LOCHE,PARIS-LYON,100,187,185,2,,,153,,7,,,,,,13,,28,,,,,,6,2,0,0.17,0.5,0,0.25,0.08,10,2,3,2
Sud-Est,5,2019,TGV,MACON LOCHE,PARIS-LYON,100,191,191,0,,,179,,5,,,,,,15,,21,,,,,,4,2,0.47,0.2,0.27,0,0.06,0,10,26,3,0
Sud-Est,6,2019,TGV,MACON LOCHE,PARIS-LYON,100,191,187,4,,,181,,7,,,,,,25,,39,,,,,,7,6,0.17,0.25,0.17,0.13,0.21,0.07,24,40,10,4
Sud-Est,7,2019,TGV,MACON LOCHE,PARIS-LYON,102,266,192,74,0,,184,,8,,,,,,16,,26,,,,,,8,4,0.12,0.19,0.25,0.19,0.25,0,13,50,8,3
Sud-Est,8,2019,TGV,MACON LOCHE,PARIS-LYON,99,174,169,5,0,,162,,9,,,,,,32,,31,,,,,,8,6,0.28,0.03,0.47,0.16,0.06,0,21,41,6,4
,9,2018,TGV,MARNE LA VALLEE,LYON PART DIEU,109,297,294,3,,,181,,10,,,,,,54,,27,,,,,,6,7,0.14,0.12,0.34,0.26,0.08,0.06,35,7,17,6
,10,2018,TGV,MARNE LA VALLEE,LYON PART DIEU,110,290,289,1,,,185,,11,,,,,,50,,36,,,,,,7,8,0.12,0.2,0.35,0.22,0.08,0.03,37,8,18,8
,11,2018,TGV,MARNE LA VALLEE,LYON PART DIEU,110,311,306,5,,,196,,7,,,,,,52,,31,,,,,,5,6,0.29,0.14,0.2,0.29,0.06,0.02,39,6,14,6
,12,2018,TGV,MARNE LA VALLEE,LYON PART DIEU,111,300,295,5,,,201,,10,,,,,,64,,26,,,,,,7,6,0.21,0.02,0.34,0.23,0.1,0.1,39,6,16,3
,1,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,302,294,8,,,184,,14,,,,,,50,,47,,,,,Neiges,9,8,0.59,0.1,0.08,0.18,0.05,0,42,8,28,11
,2,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,269,265,4,,,176,,9,,,,,,32,,64,,,,,Accidents de personne,6,8,0.19,0.36,0.23,0.12,0.1,0,26,8,14,8
,3,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,304,301,3,,,187,,9,,,,,,39,,31,,,,,,6,5,0.184,0.23700000000000002,0.211,0.342,0.026000000000000002,0,27,5,12,4
Sud-Est,4,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,286,282,4,,,175,,11,,,,,,45,,34,,,,,,7,6,0.21,0.26,0.21,0.14,0.14,0.04,36,6,15,4
Sud-Est,5,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,303,298,5,,,284,,5,,,,,,35,,24,,,,,,4,4,0.29,0.09,0.24,0.18,0.12,0.08,25,29,7,1
Sud-Est,6,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,294,294,0,,,280,,9,,,,,,53,,33,,,,,,8,7,0.22,0.16,0.26,0.12,0.12,0.12,36,43,16,8
Sud-Est,7,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,313,309,4,0,,299,,10,,,,,,62,,40,,,,,"Le 02 Juillet  ce sont  les conséquences des intempéries de fin de soirée de la veille en région AURA avec fermetures de ligne SAG Chambéry, SAG Moirans, Annecy Aix et Grenoble Chambéry qui impacte fortement notre régularité.   
Le 07 Juillet  cette journée est marquée par le décontrôle d’aiguille sur LN 1 vers Le Creusot TGV
Le 09 Juillet un dérangement de commutateur à Pasilly affecte 46 TGV .
Le 23 Juillet  c’est un incendie aux abord des voies vers Cavaillon et 2 décontroles d’aiguille à Pasilly suite à un défaut de graissage qui nous font chuter notre régularité",10,10,0.18,0.31,0.16,0.19,0.11,0.05,44,52,25,10
Sud-Est,8,2019,TGV,MARNE LA VALLEE,LYON PART DIEU,111,295,287,8,0,,276,,5,,,,,,31,,22,,,,,,5,4,0.36,0.13,0.23,0.16,0.1,0.02,20,27,4,1
,9,2018,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,216,310,307,3,,,146,,13,,,,,,51,,53,,,,,"Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel",6,11,0.18,0.18,0.35,0.22,0.02,0.05,51,11,30,12
,10,2018,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,214,290,289,1,,,141,,10,,,,,,49,,43,,,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud",5,10,0.25,0.2,0.25,0.18,0.08,0.04,49,10,19,9
,11,2018,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,214,308,305,3,,,162,,8,,,,,,48,,41,,,,,,4,9,0.26,0.15,0.26,0.23,0.06,0.04,48,9,23,8
,12,2018,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,215,269,267,2,,,156,,12,,,,,,48,,40,,,,,Heurts d'animaux et Manifestations,7,9,0.37,0.07,0.24,0.17,0.06,0.09,48,9,22,7
,1,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,217,261,257,4,,,148,,18,,,,,,52,,73,,,,,Neiges,10,17,0.44,0.12,0.14,0.25,0,0.05,52,17,44,27
,2,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,216,233,230,3,,,141,,13,,,,,,39,,73,,,,,Accidents de personne,8,15,0.21,0.28,0.21,0.23,0.07,0,39,15,25,10
,3,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,217,269,268,1,,,149,,9,,,,,,32,,44,,,,,"Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort",5,7,0.22,0.25,0.25,0.22,0.06,0,32,7,12,6
Sud-Est,4,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,214,248,248,0,,,138,,11,,,,,,32,,36,,,,,,6,6,0.17,0.13,0.23,0.27,0.17,0.03,32,6,18,3
Sud-Est,5,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,214,261,261,0,,,219,,6,,,,,,35,,41,,,,,Heurt de personnes à Vianges. Heurt animal Cuy. heurt chevreuil Lacour d'arcenay. dérangement Yerres. disjonction cluny. Fort impact sur LN1 tronçon central,5,7,0.29,0.09,0.2,0.26,0.1,0.06,35,41,18,6
Sud-Est,6,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,215,254,254,0,,,221,,9,,,,,,40,,44,,,,,Heurt d'une personne à Paris Bercy. limitation vitesse 6909 sur LN1. dérangement vers Montanay accès LN1. heurt de personne à Maisons Alfort. Dérangement d'installation vers Macon,8,9,0.25,0.07,0.18,0.33,0.13,0.04,40,44,24,8
Sud-Est,7,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,217,268,268,0,0,,238,,10,,,,,,66,,50,,,,,"Le 07 Juillet  cette journée est marquée par le décontrôle d’aiguille sur LN 1 vers Le Creusot TGV
Le 09 Juillet un dérangement de commutateur à Pasilly affecte 46 TGV .
Le 23 Juillet  c’est un incendie aux abord des voies vers Cavaillon et 2 décontroles d’aiguille à Pasilly suite à un défaut de graissage qui nous font chuter notre régularité",9,15,0.25,0.15,0.15,0.25,0.11,0.09,66,50,34,22
Sud-Est,8,2019,TGV,MARNE LA VALLEE,MARSEILLE ST CHARLES,216,252,252,0,0,,215,,6,,,,,,37,,39,,,,,,5,9,0.30000000000000004,0.14,0.24,0.22,0.05,0.05,37,39,15,5
,9,2018,TGV,MARSEILLE ST CHARLES,LILLE,308,179,177,2,,,43,,11,,,,,,36,,36,,,,,"Causes « Autres transporteurs » ont pesé fortement sur la régularité, en exemple  l’incident du  Ter 887321 à Chandieu (Sud Est) qui s’immobilise sous une section de séparation avec demande secours (36 trains Voyages pour 1072 minutes perdues)-",3,9,0.09,0.25,0.33,0.19,0.08,0.06,36,9,12,7
,10,2018,TGV,MARSEILLE ST CHARLES,LILLE,302,169,166,3,,,54,,6,,,,,,52,,40,,,,,"l’incident caténaire de Fresnoy ce jeudi 11  en début d’après-midi a perturbé fortement le plan de transport, avec  un pendule qui casse et la  caténaire qui se détend sur  1500 mètres. Cet incident a concerné 57 TGV Voyages pour 2439 minutes perdues (147 trains et 3848 min au total), et un coût de 1,5 point  pour la régularité composite mensuelle.
L’autre évènement phare du mois s’est déroulé le dernier dimanche avec le heurt d’un sanglier par le TGV 7187 à Fresnoy, un incident très coûteux en régularité car il a touché 32 Tgv Voyages pour 2036 minutes perdues,  et en totalité 67 trains pour 3529 minutes. Le prix en matière de régularité composite pour ce heurt d’animal précité correspond aussi à 1,5 point.",2,15,0.23,0.27,0.35,0.06,0.06,0.03,52,15,17,8
,11,2018,TGV,MARSEILLE ST CHARLES,LILLE,301,182,179,3,,,45,,9,,,,,,44,,39,,,,,"le « Matériel » présente le taux le plus important (exemple : avec la panne du 6122 au Creusot), une irrégularité partagée entre le Produit train avec les mises à quai tardives et les incidents techniques.
La cause « extérieur infra » est très conséquente avec les heurts d’animaux précités, avec les accidents de personnes de Montanay le mardi 06 ou de Villiers le Bel le 30, aussi les personnes dans les voies à Paris le mardi 20 suite alerte radio, en cause pour ce dernier incident une erreur d’aiguillage avec une rame vide Ter envoyée à tort en gare souterraine (problème d’indexation d’itinéraires) .
En troisième position, il s’agit des dérangements , avec le cas du rail cassé de Joncherolles, voire le rail cassé près de Douai.",2,12,0.27,0.18,0.46,0.09,0,0,44,12,18,8
,12,2018,TGV,MARSEILLE ST CHARLES,LILLE,288,187,184,3,,,35,,5,,,,,,40,,32,,,,,"Première cause d'irrégularité les """"Autres transporteurs""""--En exemple la panne Eurostar 9023 le di 23  au sud de TGV HP de 12h à 20h : 49 TGV touchés dont 20 détournés ligne classique (TGV IS bien concernés aussi)",1,10,0.28,0.05,0.44,0.13,0.1,0,40,10,16,2
,1,2019,TGV,MARSEILLE ST CHARLES,LILLE,286,186,182,4,,,43,,19,,,,,,54,,43,,,,,"Irrégularité pour les causes Matériel reste soutenue, avec notamment un Parc Duplex relevé une dizaine de fois tendu ce mois, pour les incidents en ligne les causes sont diffuses ( BM isolé, DJ, COVIT,CAB , etc.).
. Hausse marquée pour l’irrégularité « causes externes », il s’agit des conséquences d’intempéries : dérangements ou LTV (limitation temporaire de vitesse). On relèvera en évènement phare, l’inondation d’un tunnel à MSC le 26/01 entraînant le détournement des TGV par ligne classique (99 TGV-7533 min), avec enquête en cours et  dépôt de plainte pour une obstruction du réseau d’écoulement, phénomène à l’origine de l’inondation.
     Toujours en cause externe côté malveillance, on retiendra aussi
     la destruction complète par incendie volontaire d’un poste à St
     Rambert le 12/01 avec impact sur 26 Tgv, ce du 12 au 15/01.

 .    En cause externe les conséquences des manifestations gilets
      jaunes, manifestations plus marquées pour les Gares Sud Est.",4,15,0.39,0.19,0.19,0.17,0.06,0,54,15,26,13
,2,2019,TGV,MARSEILLE ST CHARLES,LILLE,290,167,164,3,,,37,,24,,,,,,31,,70,,,,,,5,15,0.2,0.23,0.4,0.17,0,0,31,15,16,8
,3,2019,TGV,MARSEILLE ST CHARLES,LILLE,290,194,194,0,,,26,,11,,,,,,41,,34,,,,,,1,10,0.275,0.325,0.15,0.125,0.05,0.075,41,10,13,3
Nord,4,2019,TGV,MARSEILLE ST CHARLES,LILLE,287,197,195,2,,,31,,7,,,,,,36,,41,,,,,,1,10,0.29,0.17,0.26,0.23,0.05,0,36,10,17,7
Nord,5,2019,TGV,MARSEILLE ST CHARLES,LILLE,283,230,208,22,,,77,,3,,,,,,48,,39,,,,,"Hausse de l’irrégularité côté « Réseau externe » par rapport au mois précédent. Il s’agit des conséquences d’accidents de personnes : le 12 à LYD avec 10 Tgv concernés (découverte d’un corps), et le 17 à Sully avec le Tgv 5374 (8 Tgv concernés).Il s’agit aussi d’autres évènements externes: le 20 avec le heurt de chevreuil par 6602 à Lacour (4 Tgv concernés), le 28 avec une divagation de vaches près d’ Arras (6 Tgv concernés), et le 30 avec les conséquences d’un incendie près de MPL (4 tgv concernés)
",1,11,0.38,0.17,0.25,0.15,0.02,0.03,48,39,21,7
Nord,6,2019,TGV,MARSEILLE ST CHARLES,LILLE,282,202,188,14,,,91,,5,,,,,,48,,39,,,,,"Irrégularité pour les causes  Autres transporteurs en hausse de 1,1 point, irrégularité en dominante pour les conséquences des circulations Ter, ensuite pour  Sncf Réseaurail avec 5 TGV concernés pour la panne du train BOA le mercredi 19 juin à TGV HP
Hausse pour la partie des dérangements( +1,8 point), essentiellement pour les installations de sécurité avec une petite part pour la rubrique « caténaire ». En fait saillant la LTV 170 puis 230 km/h les 26 et 27 juin entre Jablines et Messy suite au passage de la rame de contrôle IRIS (7 TGV concernés pour les 26 et 27 juin), pour le reste il s’agit d’incidents de zones, PN",2,13,0.23,0.17,0.26,0.23,0.09,0.02,48,39,25,6
Nord,7,2019,TGV,MARSEILLE ST CHARLES,LILLE,286,207,193,14,0,,88,,7,,,,,,70,,35,,,,,,1,15,0.26,0.16,0.33,0.16,0.06,0.03,70,35,29,9
Nord,8,2019,TGV,MARSEILLE ST CHARLES,LILLE,287,208,182,26,0,,82,,7,,,,,,45,,35,,,,,,3,11,0.16,0.2,0.38,0.09,0.07,0.1,45,35,11,3
,9,2018,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,109,533,524,9,,,144,,11,,,,,,93,,31,,,,,,3,5,0.15,0.23,0.28,0.17,0.11,0.06,63,5,24,10
,10,2018,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,103,514,506,8,,,156,,8,,,,,,143,,27,,,,,,3,11,0.13,0.23,0.41,0.1,0.1,0.03,90,11,27,12
,11,2018,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,103,537,530,7,,,145,,9,,,,,,116,,28,,,,,,2,9,0.12,0.15,0.46,0.15,0.1,0.02,75,9,28,12
,12,2018,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,104,432,421,11,,,114,,6,,,,,,56,,25,,,,,,2,5,0.34,0.09,0.23,0.11,0.11,0.12,36,5,15,4
,1,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,105,369,366,3,,,108,,12,,,,,,57,,42,,,,,Neiges et Inondation tunnel Marseille,4,9,0.29,0.1,0.23,0.25,0.13,0,47,9,28,12
,2,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,105,331,323,8,,,69,,16,,,,,,42,,39,,,,,,3,8,0.25,0.19,0.36,0.11,0.06,0.03,26,8,13,8
,3,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,105,371,367,4,,,89,,7,,,,,,42,,22,,,,,,2,5,0.29,0.03,0.34,0.15,0.07,0.12,21,5,9,3
Sud-Est,4,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,101,346,342,4,,,63,,7,,,,,,30,,29,,,,,,1,5,0.14,0.18,0.32,0.29,0,0.07,19,5,8,4
Sud-Est,5,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,101,377,362,15,,,200,,2,,,,,,47,,25,,,,,,1,5,0.23,0.13,0.30000000000000004,0.21,0.11,0.02,29,32,10,2
Sud-Est,6,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,102,369,361,8,,,225,,2,,,,,,49,,22,,,,,,1,5,0.17,0.06,0.42,0.19,0.08,0.08,29,28,9,1
Sud-Est,7,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,106,410,405,5,0,,259,,4,,,,,,98,,25,,,,,,3,9,0.24,0.17,0.30000000000000004,0.13,0.12,0.04,64,32,19,9
Sud-Est,8,2019,TGV,MARSEILLE ST CHARLES,LYON PART DIEU,106,413,387,26,0,,255,,3,,,,,,88,,27,,,,,,2,9,0.15,0.21,0.35,0.11,0.04,0.14,53,37,23,6
,9,2018,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,214,300,298,2,,,68,,21,,,,,,44,,50,,,,,"Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel",5,8,0.16,0.18,0.34,0.27,0.05,0,44,8,18,12
,10,2018,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,211,290,286,4,,,78,,6,,,,,,61,,47,,,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud",2,12,0.15,0.25,0.46,0.1,0.04,0,61,12,22,9
,11,2018,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,211,303,300,3,,,60,,10,,,,,,47,,42,,,,,,2,8,0.21,0.21,0.4,0.15,0.03,0,47,8,21,9
,12,2018,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,212,265,262,3,,,50,,6,,,,,,36,,29,,,,,,1,5,0.27,0.09,0.44,0.12,0.08,0,36,5,10,2
,1,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,213,250,244,6,,,57,,26,,,,,,55,,51,,,,,Neiges et Inondation tunnel Marseille,6,13,0.35,0.18,0.13,0.26,0.08,0,55,13,32,15
,2,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,213,224,220,4,,,48,,26,,,,,,29,,79,,,,,Accidents de personne,5,11,0.22,0.21,0.32,0.25,0,0,29,11,16,9
,3,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,213,248,248,0,,,37,,16,,,,,,30,,44,,,,,"Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort",2,7,0.24,0.14,0.24,0.31,0.07,0,30,7,15,5
Sud-Est,4,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,210,236,234,2,,,36,,9,,,,,,30,,38,,,,,,1,6,0.22,0.15,0.33,0.22,0.08,0,30,6,10,6
Sud-Est,5,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,210,262,247,15,,,88,,4,,,,,,37,,47,,,,,Heurt de personnes à Vianges. Heurt animal Cuy. heurt chevreuil Lacour d'arcenay. dérangement Yerres. disjonction cluny. Fort impact sur LN1 tronçon central,1,8,0.48,0.14,0.24,0.14,0,0,37,47,20,9
Sud-Est,6,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,211,258,244,14,,,109,,6,,,,,,51,,35,,,,,,2,8,0.24,0.18,0.24,0.28,0.04,0.02,51,35,24,6
Sud-Est,7,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,214,261,254,7,0,,104,,8,,,,,,65,,33,,,,,,2,10,0.26,0.14,0.26,0.19,0.11,0.04,65,33,22,7
Sud-Est,8,2019,TGV,MARSEILLE ST CHARLES,MARNE LA VALLEE,214,268,242,26,0,,103,,9,,,,,,52,,40,,,,,,4,10,0.21,0.15,0.33,0.15,0.06,0.1,52,40,18,7
